"id","name","gender","type","party","screen_name"
1641,"Susan A. Davis","F","rep","Democrat","RepSusanDavis"
1717,"Mario Diaz-Balart","M","rep","Republican","mdiazbalart"
1799,"Charles W. Dent","M","rep","Republican","CongressmanDent"
1850,"Joe Donnelly","M","sen","Democrat","senatordonnelly"
1976,"Theodore E. Deutch","M","rep","Democrat","CongressmanTedDeutch"
1995,"Jeff Denham","M","rep","Republican","RepJeffDenham"
2072,"Sean P. Duffy","M","rep","Republican","RepSeanDuffy"
2057,"Jeff Duncan","M","rep","Republican","RepJeffDuncan"
2062,"Scott DesJarlais","M","rep","Republican","ScottDesJarlaisTN04"
2096,"Suzan K. DelBene","F","rep","Democrat","RepDelBene"
2138,"Steve Daines","M","sen","Republican","SteveDainesMT"
2126,"Rodney Davis","M","rep","Republican","RepRodneyDavis"
2133,"John K. Delaney","M","rep","Democrat","congressmanjohndelaney"
2116,"Ron DeSantis","M","rep","Republican","RepDeSantis"
2123,"Tammy Duckworth","F","sen","Democrat","SenDuckworth"
2227,"Mark DeSaulnier","M","rep","Democrat","RepMarkDeSaulnier"
2251,"Debbie Dingell","F","rep","Democrat","RepDebbieDingell"
2293,"Daniel M. Donovan, Jr.","M","rep","Republican","RepDanDonovan"
2296,"Warren Davidson","M","rep","Republican","CongressmanWarrenDavidson"
NA,"Val Butler Demings","F","rep","Democrat","RepresentativeValDemings"
NA,"Neal P. Dunn","M","rep","Republican","drnealdunnfl2"
344,"Eliot L. Engel","M","rep","Democrat","RepEliotLEngel"
355,"Anna G. Eshoo","F","rep","Democrat","RepAnnaEshoo"
1542,"Michael B. Enzi","M","sen","Republican","mikeenzi"
1857,"Keith Ellison","M","rep","Democrat","Keith.Ellison"
2114,"Elizabeth H. Esty","F","rep","Democrat","RepEsty"
2253,"Tom Emmer","M","rep","Republican","reptomemmer"
2283,"Joni Ernst","F","sen","Republican","senjoniernst"
NA,"Dwight Evans","M","rep","Democrat","RepDwightEvans"
NA,"Adriano Espaillat","M","rep","Democrat","RepEspaillat"
NA,"Ron Estes","M","rep","Republican","RepRonEstes"
1332,"Dianne Feinstein","F","sen","Democrat","senatorfeinstein"
414,"Rodney P. Frelinghuysen","M","rep","Republican","rfrelinghuysen"
1633,"Jeff Flake","M","sen","Republican","senatorjeffflake"
1707,"Trent Franks","M","rep","Republican","TrentFranks"
1793,"Jeff Fortenberry","M","rep","Republican","jefffortenberry"
1791,"Virginia Foxx","F","rep","Republican","RepVirginiaFoxx"
1888,"Bill Foster","M","rep","Democrat","CongressmanBillFoster"
1895,"Marcia L. Fudge","F","rep","Democrat","RepMarciaLFudge"
1969,"Al Franken","M","sen","Democrat","senatoralfranken"
2061,"Charles J. ""Chuck"" Fleischmann","M","rep","Republican","repchuck"
2067,"Blake Farenthold","M","rep","Republican","BlakeFarenthold"
2065,"Bill Flores","M","rep","Republican","RepBillFlores"
2119,"Lois Frankel","F","rep","Democrat","RepLoisFrankel"
2179,"Deb Fischer","F","sen","Republican","senatordebfischer"
NA,"John J. Faso","M","rep","Republican","RepJohnFaso"
NA,"A. Drew Ferguson IV","M","rep","Republican","RepDrewFerguson"
NA,"Brian K. Fitzpatrick","M","rep","Republican","repbrianfitzpatrick"
446,"Bob Goodlatte","M","rep","Republican","BobGoodlatte"
452,"Lindsey Graham","M","sen","Republican","USSenatorLindseyGraham"
1487,"Kay Granger","F","rep","Republican","RepKayGranger"
457,"Chuck Grassley","M","sen","Republican","grassley"
462,"Gene Green","M","rep","Democrat","RepGeneGreen"
478,"Luis V. Gutiérrez","M","rep","Democrat","RepGutierrez"
1656,"Sam Graves","M","rep","Republican","118514606128"
1708,"Raúl M. Grijalva","M","rep","Democrat","Rep.Grijalva"
1801,"Louie Gohmert","M","rep","Republican","50375006903"
1803,"Al Green","M","rep","Democrat","repalgreen"
1866,"Kirsten E. Gillibrand","F","sen","Democrat","KirstenGillibrand"
1973,"John Garamendi","M","rep","Democrat","repgaramendi"
1979,"Tom Graves","M","rep","Republican","reptomgraves"
1998,"Cory Gardner","M","sen","Republican","SenCoryGardner"
2049,"Bob Gibbs","M","rep","Republican","RepBobGibbs"
1992,"Paul A. Gosar","M","rep","Republican","repgosar"
2058,"Trey Gowdy","M","rep","Republican","RepTreyGowdy"
2070,"H. Morgan Griffith","M","rep","Republican","RepMorganGriffith"
2122,"Tulsi Gabbard","F","rep","Democrat","RepTulsiGabbard"
2226,"Ruben Gallego","M","rep","Democrat","RepRubenGallego"
2276,"Glenn Grothman","M","rep","Republican","RepGrothman"
2245,"Garret Graves","M","rep","Republican","CongressmanGarretGraves"
NA,"Matt Gaetz","M","rep","Republican","CongressmanMattGaetz"
NA,"Mike Gallagher","M","rep","Republican","RepMikeGallagher"
NA,"Thomas A. Garrett, Jr.","M","rep","Republican","congressman-Tom-Garrett-1835767753333490"
NA,"Vicente Gonzalez","M","rep","Democrat","USCongressmanVicenteGonzalez"
NA,"Jenniffer González-Colón","F","rep","Republican","RepJennifferGonzalezColon"
NA,"Josh Gottheimer","M","rep","Democrat","RepJoshG"
511,"Alcee L. Hastings","M","rep","Democrat","95696782238"
1351,"Orrin G. Hatch","M","sen","Republican","senatororrinhatch"
566,"Steny H. Hoyer","M","rep","Democrat","WhipHoyer"
1749,"Jeb Hensarling","M","rep","Republican","RepHensarling"
1794,"Brian Higgins","M","rep","Democrat","RepBrianHiggins"
1863,"Dean Heller","M","sen","Republican","SenDeanHeller"
1844,"Mazie K. Hirono","F","sen","Democrat","senatorhirono"
1933,"Gregg Harper","M","rep","Republican","GreggHarper"
1937,"Martin Heinrich","M","sen","Democrat","MartinHeinrich"
1913,"James A. Himes","M","rep","Democrat","CongressmanJimHimes"
1909,"Duncan Hunter","M","rep","Republican","DuncanHunter"
2026,"Andy Harris","M","rep","Republican","AndyHarrisMD"
2032,"Vicky Hartzler","F","rep","Republican","Congresswoman.Hartzler"
2071,"Jaime Herrera Beutler","F","rep","Republican","herrerabeutler"
2028,"Bill Huizenga","M","rep","Republican","RepHuizenga"
2015,"Randy Hultgren","M","rep","Republican","RepHultgren"
2079,"John Hoeven","M","sen","Republican","SenatorJohnHoeven"
2170,"Denny Heck","M","rep","Democrat","CongressmanDennyHeck"
2143,"George Holding","M","rep","Republican","CongressmanGeorgeHolding"
2140,"Richard Hudson","M","rep","Republican","RepRichHudson"
2101,"Jared Huffman","M","rep","Democrat","RepHuffman"
2174,"Heidi Heitkamp","F","sen","Democrat","SenatorHeidiHeitkamp"
2237,"Jody B. Hice","M","rep","Republican","CongressmanJodyHice"
2223,"J. French Hill","M","rep","Republican","RepFrenchHill"
2269,"Will Hurd","M","rep","Republican","HurdOnTheHill"
NA,"Trey Hollingsworth","M","rep","Republican","reptrey"
NA,"Kamala D. Harris","F","sen","Democrat","SenatorKamalaHarris"
NA,"Margaret Wood Hassan","F","sen","Democrat","SenatorHassan"
583,"James M. Inhofe","M","sen","Republican","jiminhofe"
1640,"Darrell E. Issa","M","rep","Republican","darrellissa"
588,"Sheila Jackson Lee","F","rep","Democrat","CongresswomanSheilaJacksonLee"
599,"Eddie Bernice Johnson","F","rep","Democrat","CongresswomanEBJtx30"
603,"Sam Johnson","M","rep","Republican","RepSamJohnson"
612,"Walter B. Jones","M","rep","Republican","15083070102"
1843,"Henry C. ""Hank"" Johnson, Jr.","M","rep","Democrat","115356957005"
1868,"Jim Jordan","M","rep","Republican","repjimjordan"
1921,"Lynn Jenkins","F","rep","Republican","replynnjenkins"
2046,"Bill Johnson","M","rep","Republican","RepBillJohnson"
2086,"Ron Johnson","M","sen","Republican","senronjohnson"
2149,"Hakeem S. Jeffries","M","rep","Democrat","RepHakeemJeffries"
2154,"David P. Joyce","M","rep","Republican","RepDaveJoyce"
2278,"Evan H. Jenkins","M","rep","Republican","RepEvanJenkins"
NA,"Pramila Jayapal","F","rep","Democrat","RepJayapal"
NA,"Mike Johnson","M","rep","Republican","RepMikeJohnson"
616,"Marcy Kaptur","F","rep","Democrat","RepresentativeMarcyKaptur"
1498,"Ron Kind","M","rep","Democrat","repronkind"
